#Data tag : v1 , Norm tag: None
run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
297050:5839,06/16/17 20:55:45,710,710,96162706.207,93681596.568
297056:5840,06/17/17 05:00:46,192,192,31385231.818,28208088.123
297057:5840,06/17/17 06:18:36,873,873,114815009.463,112271382.994
297099:5842,06/17/17 19:30:12,23,23,5092791.677,4684693.123
297100:5842,06/17/17 19:41:21,371,369,74423288.809,69680619.019
297101:5842,06/17/17 22:12:26,909,909,140989463.032,138188780.194
297113:5845,06/18/17 12:43:13,235,228,54429699.355,48934843.571
297114:5845,06/18/17 14:21:05,155,155,32948989.828,31905851.144
297175:5848,06/19/17 19:04:40,85,76,18737396.907,15605620.500
297176:5848,06/19/17 19:42:18,200,196,41898825.509,39369546.976
297177:5848,06/19/17 21:04:31,162,158,31965701.694,30027254.423
297178:5848,06/19/17 22:09:07,1347,1340,200361131.164,195709017.682
297215:5849,06/20/17 13:53:03,47,47,12739780.973,12016961.258
297218:5849,06/20/17 14:14:26,27,24,7126210.785,3628771.208
297219:5849,06/20/17 14:26:08,2608,2607,436499826.400,423628631.318
297224:5849,06/21/17 07:56:04,125,125,12146245.912,11932746.614
297225:5849,06/21/17 08:49:06,32,25,3026697.055,2256187.610
297227:5849,06/21/17 09:04:44,184,184,16335502.983,16185182.633
297292:5856,06/22/17 02:42:29,738,735,179309594.376,168740985.522
297293:5856,06/22/17 07:41:33,145,139,29678151.433,27038816.930
297296:5856,06/22/17 08:47:07,484,479,88488137.201,84188129.423
297308:5856,06/22/17 12:09:29,37,37,6096643.515,5872111.291
297359:5862,06/23/17 03:30:40,37,37,11274149.636,10776540.559
297411:5864,06/23/17 13:35:24,911,911,209422157.098,200456557.136
297424:5865,06/24/17 00:42:30,118,117,33711731.347,30630959.231
297425:5865,06/24/17 01:29:39,153,149,42917090.033,40380558.331
297426:5865,06/24/17 02:30:35,101,100,26732427.721,24574479.882
297429:5865,06/24/17 03:24:59,72,72,18104551.074,17174467.243
297430:5865,06/24/17 04:03:47,199,199,47807040.804,45743299.984
297431:5865,06/24/17 05:23:08,177,174,39546592.503,37508000.809
297432:5865,06/24/17 06:36:25,112,112,23772602.992,23048493.581
297433:5865,06/24/17 07:41:47,159,153,31849886.824,29722522.220
297434:5865,06/24/17 08:43:19,161,156,30448867.002,28822314.186
297435:5865,06/24/17 09:45:40,94,94,17166365.222,16788701.895
297467:5868,06/24/17 19:48:19,89,89,29371448.531,27178503.131
297468:5868,06/24/17 20:28:57,74,74,23558732.376,22624098.163
297469:5868,06/24/17 21:02:04,66,66,20256387.027,18483778.254
297483:5872,06/25/17 05:36:28,172,171,50558178.419,46830332.456
297484:5872,06/25/17 06:47:17,204,204,57261793.217,54426793.373
297485:5872,06/25/17 08:17:19,402,397,99732093.038,94979650.406
297486:5872,06/25/17 11:05:55,617,615,126715722.552,122692281.313
297487:5872,06/25/17 15:14:37,600,595,99323487.153,96247343.187
297488:5872,06/25/17 19:17:09,418,418,57460174.527,56326943.414
297503:5873,06/26/17 02:02:27,748,745,189776747.878,181851632.908
297504:5873,06/26/17 07:10:25,53,52,11431061.456,10727693.946
297505:5873,06/26/17 08:06:28,394,394,76662705.589,74612063.532
297557:5876,06/26/17 23:20:35,334,334,99469558.917,93332512.182
297558:5876,06/27/17 01:56:22,258,255,68482859.429,64982538.370
297562:5876,06/27/17 05:58:50,319,318,64778866.750,62218386.822
297563:5876,06/27/17 08:23:21,259,259,47407571.415,45965414.732
297599:5878,06/27/17 15:06:25,347,342,97197969.405,92102185.594
297603:5878,06/27/17 17:52:22,420,418,103152499.971,98935557.122
297604:5878,06/27/17 20:44:33,392,389,82265271.998,79136503.633
297605:5878,06/27/17 23:22:45,360,357,66247002.254,64209308.339
297606:5878,06/28/17 02:10:08,227,227,36992939.693,36115424.003
297620:5880,06/28/17 10:09:23,287,287,87454268.034,81521270.999
297656:5882,06/28/17 17:39:53,303,300,96714893.675,92050999.107
297665:5882,06/29/17 00:46:59,270,267,59179140.945,56783431.565
297666:5882,06/29/17 02:42:25,112,112,22798072.039,22224374.542
297670:5883,06/29/17 06:26:34,14,7,4656506.817,2098410.823
297674:5883,06/29/17 07:15:59,181,176,55470753.785,51495391.574
297675:5883,06/29/17 08:36:58,455,451,123372155.971,118251521.936
297722:5887,06/29/17 20:40:23,295,287,95367882.947,89476872.254
297723:5887,06/29/17 23:02:24,185,185,53140961.091,51198997.386
298996:5942,07/14/17 07:36:18,184,184,29599682.749,23587655.285
298997:5942,07/14/17 08:52:13,47,47,7367582.303,5424780.452
299000:5942,07/14/17 09:20:59,74,74,10405753.053,8317610.117
299042:5946,07/14/17 20:11:50,23,23,4258393.700,2079917.997
299061:5950,07/15/17 01:00:37,318,311,82119481.480,66820417.131
299062:5950,07/15/17 03:04:10,301,294,71050331.308,60156788.186
299064:5950,07/15/17 05:04:34,79,78,17476799.283,15979509.905
299065:5950,07/15/17 05:49:29,328,321,66330633.316,59079921.658
299067:5950,07/15/17 08:12:55,459,459,78194922.035,70769071.820
299096:5952,07/15/17 15:27:14,96,96,27444151.039,24805698.179
299149:5954,07/16/17 01:40:41,442,442,124507349.764,111557190.579
299178:5958,07/16/17 12:24:55,74,70,20446707.182,16328205.578
299180:5958,07/16/17 12:57:51,94,68,26696552.250,16065848.341
299184:5958,07/16/17 13:42:24,561,555,140378723.913,126939658.949
299185:5958,07/16/17 17:26:15,120,120,26384601.509,24118890.064
299327:5960,07/18/17 07:53:09,72,69,17849165.964,15595861.243
299329:5960,07/18/17 08:25:06,172,172,40823842.627,38520180.232
299368:5962,07/18/17 16:09:23,139,131,44018286.711,33716376.408
299369:5962,07/18/17 17:05:01,303,302,90921223.360,80806811.363
299370:5962,07/18/17 19:39:21,666,666,156323096.484,146044317.386
299380:5963,07/19/17 02:35:27,194,191,62468775.932,55831119.163
299381:5963,07/19/17 04:00:43,45,45,13827608.868,12266126.359
