run,ID,lumi,Mjj,HT,pt1,pt2,phi1,phi2,eta1,eta2,softdrop1,softdrop2,HLT_PFHT1050_v,HLT_PFHT890_v,HLT_PFHT780_v,HLT_PFHT430_v,HLT_AK8PFHT750_TrimMass50_v,HLT_AK8PFHT800_TrimMass50_v,HLT_AK8PFHT850_TrimMass50_v,HLT_AK8PFHT900_TrimMass50_v,HLT_PFJet140_v,HLT_PFJet200_v,HLT_PFJet400_v,HLT_PFJet450_v,HLT_PFJet500_v,HLT_PFJet550_v,HLT_AK8PFJet140_v,HLT_AK8PFJet200_v,HLT_AK8PFJet400_v,HLT_AK8PFJet450_v,HLT_AK8PFJet500_v,HLT_IsoMu20_v,HLT_IsoMu27_v,HLT_Mu20_v,HLT_Mu50_v
299065, 179113143, 118, 549.214, 470.170, 257.896, 249.694, 0.261, -2.613, -0.929, -1.732, 14.927, 12.210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 179656529, 118, 815.091, 926.135, 396.456, 377.375, -2.632, -0.007, -0.645, 0.120, 30.155, 12.729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 180612851, 119, 551.531, 530.361, 306.902, 232.210, 2.755, -0.574, 0.501, 0.666, 33.448, 75.699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 180967745, 119, 603.539, 496.881, 279.277, 246.102, -3.048, 0.192, 0.996, -0.039, 20.281, 31.030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 181012865, 119, 805.938, 704.954, 474.244, 270.540, -0.207, 2.828, -0.185, 0.767, 3.571, 48.420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
299065, 180905497, 119, 1096.670, 1356.670, 709.781, 412.159, -0.535, 2.840, 0.460, 0.675, 32.017, 98.962, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1
299065, 181980290, 119, 492.984, 404.447, 226.737, 221.813, 2.273, -0.826, -0.082, -0.907, 6.300, 1.276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 181383990, 119, 680.721, 923.032, 473.353, 221.540, 0.224, 2.941, -0.140, -0.705, 111.987, 22.928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 192656289, 126, 448.104, 426.215, 234.914, 210.308, -2.523, 0.676, -0.393, -0.561, 1.165, 7.578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
299065, 192377886, 126, 441.219, 402.319, 217.163, 214.863, 0.344, -2.784, -1.428, -1.514, 23.488, 36.754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
